Let the simulation run for a bit, and then press CTRL+C to get the
average runtimes (in milliseconds) of each of the state functions.
Initializing camera...  Done.
0001001 1 0
0000001 1 0
1111001 1 0
0000001 1 0
1111001 1 0
0000001 1 0
1111001 1 0
1100001 1 0
1100001 1 0
1101001 1 0
0001001 1 0
0011001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
1111001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0001001 1 0
0101001 1 0
0101001 1 0
0100001 1 0
0000001 1 0
0000101 1 0
0001101 1 0
0001001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0100001 1 0
0000001 1 0
0101001 1 0
0101001 1 0
0100001 1 0
0000001 1 0
0101001 1 0
0000001 1 0
0000101 1 0
0000001 1 0

Halting program...  Exiting manual controls.
Final output: 00000000

Manual control mode exited successfully!



Ran for 71.90 seconds.

